Student_ID,Name,Class,Subject,Exam_Score_1,Exam_Score_2,Exam_Score_3,Attendance_Percentage,Study_Hours_Per_Week,Assignment_Completion_Rate,Participation_Level,Final_Score
STU_001,Vikram Verma,Grade 9,Math,90.26,89.28,91.7,78.34,21.3,52.07,Medium,83.71
STU_001,Vikram Verma,Grade 9,Science,74.26,78.13,79.62,68.13,15.83,75.29,Low,69.12
STU_001,Vikram Verma,Grade 9,English,98.38,100.0,100.0,81.21,28.65,52.1,High,96.27
STU_001,Vikram Verma,Grade 9,History,100.0,100.0,100.0,93.16,22.35,62.39,High,93.58
STU_001,Vikram Verma,Grade 9,Art,70.34,73.43,74.62,66.06,7.05,61.82,Low,66.29
STU_002,Tanisha Sharma,Grade 12,Math,83.4,85.66,85.57,78.78,18.79,77.41,Medium,78.04
STU_002,Tanisha Sharma,Grade 12,Science,65.71,69.82,70.87,94.65,3.2,54.32,High,66.6
STU_002,Tanisha Sharma,Grade 12,English,76.07,75.56,72.57,85.09,10.49,97.52,High,69.6
STU_002,Tanisha Sharma,Grade 12,History,84.57,89.71,84.27,77.38,18.98,86.95,Low,79.81
STU_002,Tanisha Sharma,Grade 12,Art,73.74,75.94,80.18,73.09,12.11,69.81,Low,69.54
STU_003,Arjun Joshi,Grade 12,Math,89.15,94.06,89.25,73.1,12.01,73.63,Medium,78.5
STU_003,Arjun Joshi,Grade 12,Science,83.31,83.71,88.31,72.69,22.2,97.68,High,80.23
STU_003,Arjun Joshi,Grade 12,English,69.73,67.14,61.79,71.1,6.58,59.81,Low,55.37
STU_003,Arjun Joshi,Grade 12,History,100.0,100.0,100.0,96.48,26.35,71.33,High,98.68
STU_003,Arjun Joshi,Grade 12,Art,72.55,76.74,82.71,91.69,9.84,69.71,High,76.59
STU_004,Vikram Patel,Grade 9,Math,79.58,82.27,83.53,80.84,15.66,77.36,High,75.52
STU_004,Vikram Patel,Grade 9,Science,97.69,99.94,100.0,71.48,28.62,74.18,Medium,89.86
STU_004,Vikram Patel,Grade 9,English,57.49,56.98,58.49,64.87,2.35,87.53,High,52.36
STU_004,Vikram Patel,Grade 9,History,80.59,83.16,79.56,80.5,17.28,95.41,Medium,81.0
STU_004,Vikram Patel,Grade 9,Art,77.2,81.02,79.89,92.3,13.57,66.89,High,73.67
STU_005,Rohan Kapoor,Grade 9,Math,84.62,87.17,86.43,92.98,18.59,96.54,High,79.04
STU_005,Rohan Kapoor,Grade 9,Science,68.68,71.44,74.05,84.32,9.33,68.87,Low,66.11
STU_005,Rohan Kapoor,Grade 9,English,68.25,70.39,72.79,62.47,15.61,61.88,Low,66.56
STU_005,Rohan Kapoor,Grade 9,History,98.27,100.0,100.0,76.67,28.65,81.69,Medium,95.02
STU_005,Rohan Kapoor,Grade 9,Art,80.57,82.71,73.65,77.67,18.28,70.13,High,75.43
STU_006,Vikram Singh,Grade 12,Math,95.19,95.55,93.36,80.65,27.52,50.41,Medium,91.13
STU_006,Vikram Singh,Grade 12,Science,97.68,100.0,99.33,94.5,23.38,93.51,High,89.45
STU_006,Vikram Singh,Grade 12,English,89.39,95.06,99.36,71.96,26.31,62.45,High,92.63
STU_006,Vikram Singh,Grade 12,History,93.14,100.0,100.0,79.03,21.69,57.85,Low,88.2
STU_006,Vikram Singh,Grade 12,Art,61.94,61.74,60.85,71.78,6.7,51.52,Low,59.97
STU_007,Rahul Reddy,Grade 11,Math,92.42,94.85,90.59,79.94,18.63,91.32,Low,84.91
STU_007,Rahul Reddy,Grade 11,Science,67.53,71.67,66.06,77.01,4.07,75.0,Low,62.04
STU_007,Rahul Reddy,Grade 11,English,96.28,98.51,100.0,74.2,28.63,82.69,Low,92.32
STU_007,Rahul Reddy,Grade 11,History,62.63,62.12,65.68,69.28,5.02,67.91,High,54.29
STU_007,Rahul Reddy,Grade 11,Art,96.11,100.0,100.0,84.34,27.19,71.19,Low,99.73
STU_008,Vikram Patel,Grade 11,Math,97.31,98.13,94.23,76.52,25.98,53.25,High,90.34
STU_008,Vikram Patel,Grade 11,Science,77.29,83.05,84.85,72.12,16.42,58.97,High,80.42
STU_008,Vikram Patel,Grade 11,English,72.08,70.01,72.69,89.44,14.43,61.32,Medium,72.2
STU_008,Vikram Patel,Grade 11,History,48.81,52.16,42.6,64.27,4.26,71.54,High,41.01
STU_008,Vikram Patel,Grade 11,Art,90.82,89.57,98.47,98.92,20.02,97.75,High,91.76
STU_009,Ishita Reddy,Grade 11,Math,100.0,100.0,100.0,71.39,28.3,60.16,High,87.04
STU_009,Ishita Reddy,Grade 11,Science,78.7,73.1,75.69,64.35,15.77,78.59,High,71.61
STU_009,Ishita Reddy,Grade 11,English,61.58,57.78,54.88,63.58,4.56,64.37,Medium,52.08
